scalar,RGB_r,RGB_g,RGB_b
0.283464567,0.894125781,0.635029665,0.013073873
0.275590551,0.894911925,0.64752377,0.013183718
0.267716535,0.895617281,0.659973773,0.013363035
0.25984252,0.896240942,0.672383188,0.013613511
0.251968504,0.896781975,0.684755254,0.013936837
0.244094488,0.897239422,0.697092963,0.014334703
0.236220472,0.897612295,0.709399081,0.014808796
0.228346457,0.897899577,0.721676173,0.015360808
0.220472441,0.898100223,0.733926615,0.015992427
0.212598425,0.898213153,0.746152621,0.016705343
0.204724409,0.898237258,0.758356245,0.017501245
0.196850394,0.89817139,0.770539407,0.018381822
0.188976378,0.898014371,0.782703893,0.019348764
0.181102362,0.89776498,0.794851375,0.02040376
0.173228346,0.89742196,0.806983416,0.021548501
0.165354331,0.896984013,0.819101478,0.022784674
0.157480315,0.897863256,0.830600367,0.055211684
0.149606299,0.906520255,0.83868645,0.163612543
0.141732283,0.914871872,0.846809553,0.231521051
0.133858268,0.922906811,0.854970427,0.287701649
0.125984252,0.93061395,0.863169773,0.338097473
0.118110236,0.937982274,0.871408245,0.385091473
0.11023622,0.945000821,0.879686447,0.429897238
0.102362205,0.951658616,0.888004939,0.473220078
0.094488189,0.957944617,0.896364239,0.515506177
0.086614173,0.963847657,0.904764822,0.557055002
0.078740157,0.969356387,0.913207127,0.598076501
0.070866142,0.974459217,0.921691555,0.638722851
0.062992126,0.979144261,0.930218469,0.679107279
0.05511811,0.98339927,0.938788202,0.719315823
0.047244094,0.987211575,0.947401054,0.75941498
0.039370079,0.990568015,0.956057293,0.799456877
0.031496063,0.993454869,0.964757158,0.839482848
0.023622047,0.995857776,0.973500863,0.879525987
0.015748031,0.997761656,0.982288591,0.919612998
0.007874016,0.999150617,0.991120505,0.959765574
0,1,1,1
