scalar,RGB_r,RGB_g,RGB_b
0.322834646,0.954183147,0.709176605,0.595486364
0.31496063,0.954167412,0.698830534,0.583076276
0.307086614,0.95381295,0.688226121,0.570684596
0.299212598,0.953120253,0.677367408,0.558317339
0.291338583,0.952089937,0.666258403,0.545980419
0.283464567,0.950722747,0.654903062,0.53367964
0.275590551,0.949019558,0.643305269,0.521420698
0.267716535,0.946981376,0.631468814,0.509209179
0.25984252,0.944609338,0.619397363,0.497050555
0.251968504,0.941904718,0.607094434,0.484950186
0.244094488,0.938868922,0.594563359,0.472913317
0.236220472,0.935503498,0.581807246,0.460945076
0.228346457,0.931810126,0.568828938,0.449050476
0.220472441,0.927790627,0.555630959,0.437234409
0.212598425,0.923446963,0.542215455,0.425501654
0.204724409,0.918781234,0.528584125,0.413856868
0.196850394,0.913795679,0.514738139,0.40230459
0.188976378,0.908492681,0.500678039,0.390849245
0.181102362,0.902874762,0.486403625,0.379495135
0.173228346,0.896944585,0.471913811,0.368246448
0.165354331,0.890704954,0.457206455,0.357107257
0.157480315,0.884158816,0.442278152,0.346081517
0.149606299,0.877309255,0.427123969,0.335173073
0.141732283,0.870159498,0.411737121,0.324385656
0.133858268,0.862712911,0.396108561,0.31372289
0.125984252,0.854973,0.380226447,0.30318829
0.118110236,0.846943406,0.364075457,0.292785268
0.11023622,0.838627912,0.347635876,0.282517135
0.102362205,0.830030435,0.330882378,0.272387106
0.094488189,0.821155028,0.313782351,0.262398301
0.086614173,0.812005878,0.296293542,0.252553753
0.078740157,0.802587306,0.278360686,0.242856411
0.070866142,0.792903762,0.259910481,0.233309147
0.062992126,0.78295983,0.240843874,0.223914761
0.05511811,0.772760217,0.221023641,0.21467599
0.047244094,0.762309763,0.200253287,0.205595511
0.039370079,0.751613426,0.178238606,0.196675955
0.031496063,0.740676292,0.154510844,0.187919912
0.023622047,0.729503564,0.128251798,0.179329941
0.015748031,0.718100566,0.097808427,0.170908583
0.007874016,0.706472735,0.058766984,0.162658367
0,0.694625625,0.00296461,0.154581828
