scalar,RGB_r,RGB_g,RGB_b
0.456692913,0.903274982,0.273152705,0.236469218
0.448818898,0.908931899,0.288594009,0.235793883
0.440944882,0.914563949,0.303568823,0.235054238
0.433070866,0.920171176,0.318145365,0.234248669
0.42519685,0.925753624,0.332378415,0.233375475
0.417322835,0.931311337,0.346312666,0.232432862
0.409448819,0.936844357,0.359985081,0.231418936
0.401574803,0.942352726,0.373426598,0.230331693
0.393700787,0.947836483,0.386663376,0.229169012
0.385826772,0.953295669,0.39971774,0.227928645
0.377952756,0.958730321,0.412608896,0.226608202
0.37007874,0.964140478,0.42535349,0.225205143
0.362204724,0.969526175,0.437966039,0.223716759
0.354330709,0.974887448,0.450459284,0.222140163
0.346456693,0.978637771,0.464151034,0.220138509
0.338582677,0.976784368,0.482071597,0.216840854
0.330708661,0.974812408,0.499574808,0.213376028
0.322834646,0.972719636,0.516707557,0.209733871
0.31496063,0.970503711,0.533509514,0.205903039
0.307086614,0.968162208,0.550014557,0.201870798
0.299212598,0.965692607,0.566251865,0.197622773
0.291338583,0.963092287,0.582246756,0.193142632
0.283464567,0.960358526,0.598021348,0.188411689
0.275590551,0.957488488,0.613595081,0.183408394
0.267716535,0.95447922,0.628985134,0.178107679
0.25984252,0.951327643,0.64420677,0.172480088
0.251968504,0.948030546,0.659273605,0.166490621
0.244094488,0.944584572,0.674197844,0.160097143
0.236220472,0.940986217,0.688990465,0.153248164
0.228346457,0.937231812,0.703661384,0.145879643
0.220472441,0.933317515,0.71821958,0.137910233
0.212598425,0.929239299,0.732673215,0.129233937
0.204724409,0.924992939,0.747029729,0.119708222
0.196850394,0.920573997,0.76129592,0.109133572
0.188976378,0.915977804,0.775478016,0.097215595
0.181102362,0.911199447,0.789581738,0.083487107
0.173228346,0.906233746,0.803612352,0.067122553
0.165354331,0.901075234,0.817574715,0.046379036
0.157480315,0.897863256,0.830600367,0.055211684
0.149606299,0.906520255,0.83868645,0.163612543
0.141732283,0.914871872,0.846809553,0.231521051
0.133858268,0.922906811,0.854970427,0.287701649
0.125984252,0.93061395,0.863169773,0.338097473
0.118110236,0.937982274,0.871408245,0.385091473
0.11023622,0.945000821,0.879686447,0.429897238
0.102362205,0.951658616,0.888004939,0.473220078
0.094488189,0.957944617,0.896364239,0.515506177
0.086614173,0.963847657,0.904764822,0.557055002
0.078740157,0.969356387,0.913207127,0.598076501
0.070866142,0.974459217,0.921691555,0.638722851
0.062992126,0.979144261,0.930218469,0.679107279
0.05511811,0.98339927,0.938788202,0.719315823
0.047244094,0.987211575,0.947401054,0.75941498
0.039370079,0.990568015,0.956057293,0.799456877
0.031496063,0.993454869,0.964757158,0.839482848
0.023622047,0.995857776,0.973500863,0.879525987
0.015748031,0.997761656,0.982288591,0.919612998
0.007874016,0.999150617,0.991120505,0.959765574
0,1,1,1
